"feature","est_rho","lower_rho","upper_rho","bias_slope","blalt_mean","blalt_delta.sd","blalt_lower","blalt_upper"
"original_firstorder_RootMeanSquared","0.955881298882363","0.907478766059856","0.979237641512166","0.99938039243701","2.58636553839485","32.5806240441382","-61.2704841819558","66.4432152587455"
"original_firstorder_Skewness","0.77317117316209","0.569625337912072","0.887358389626518","0.99667647564234","0.000290482343090009","0.332485452115193","-0.651369029186206","0.651949993872386"
"original_firstorder_Uniformity","0.890673156695235","0.781906801396419","0.946815109166505","0.991462381831915","-0.00171725478569256","0.0087266961296649","-0.0188212649038608","0.0153867553324757"
"original_firstorder_Variance","0.904129237834491","0.811954133521873","0.95231167412969","0.985811021083105","3000.63873798178","14092.9758426957","-24621.0863486947","30622.3638246583"
"original_glcm_Autocorrelation","0.848195544222828","0.699377874972657","0.926528703458223","0.997549951579657","24.5453770841116","195.747653679035","-359.112974185016","408.203728353239"
"original_glcm_JointAverage","0.848698412864308","0.700286150942664","0.926784475886785","0.997656528933626","0.396371416820915","3.24086273966309","-5.95560283175655","6.74834566539838"
"original_glcm_ClusterProminence","0.873732976529363","0.746970087020976","0.93920039213625","0.99449380613291","17744.2097931466","84664.6093007357","-148195.37520145","183683.794787743"
"original_glcm_ClusterShade","0.912538069940843","0.821398675614283","0.958235885037947","0.992290686310407","-271.614193224278","892.395344123927","-2020.6769276784","1477.44854122985"
"original_glcm_ClusterTendency","0.893441450845917","0.785202785330782","0.948704676347272","0.994429186017633","9.75545718680688","50.9231370208502","-90.0520573538577","109.562971727471"
"original_glcm_Contrast","0.902637308195276","0.815908829805373","0.949639670486854","0.977935452090697","6.72841314075005","39.1120920904104","-69.9298787164683","83.3867049979684"
"original_glcm_Correlation","0.899136942465002","0.804240921649281","0.949323316033043","0.982161594196868","0.00914090448936679","0.0385150882950545","-0.0663472814303202","0.0846290904090537"
"original_glcm_DifferenceAverage","0.942932139152744","0.885503632627784","0.971983946170798","0.992675564919629","0.161852425476168","1.00766817769108","-1.81314091116545","2.13684576211779"
"original_glcm_DifferenceEntropy","0.930893051405796","0.859095689664974","0.966760390455546","0.995106042035023","0.0282728298577491","0.169294463144123","-0.303538220686775","0.360083880402273"
"original_glcm_DifferenceVariance","0.920110185777409","0.840505169462179","0.960829352633558","0.991115379453206","2.43650951615919","14.3711032363566","-25.7303352452067","30.6033542775251"
"original_glcm_JointEnergy","0.909790933733507","0.850658498467878","0.946190393351193","0.950768274558612","-0.000639273559442148","0.00288984246911876","-0.00630326071990922","0.00502471360102492"
"original_glcm_JointEntropy","0.957792418927896","0.912650501057972","0.97985091491514","0.997677396646682","0.0318858807595949","0.322256029013102","-0.599724329906979","0.663496091426168"
"original_glcm_Imc1","0.995929181759891","0.991387918305836","0.99807808864727","0.999643652438229","-0.00406137982162975","0.019113133354754","-0.0415224328286588","0.0333996731853993"
"original_glcm_Imc2","0.997893573282966","0.995474955875809","0.999020084493688","0.999951349715874","0.00178222287254203","0.0143679563618986","-0.0263784541282224","0.0299428998733064"
"original_glcm_Idm","0.922864186783268","0.843512351697224","0.962790415563688","0.99549267020256","-0.00239202174124107","0.0217996674025712","-0.0451185847252325","0.0403345412427503"
"original_glcm_Idmn","0.924381771076138","0.845901793838341","0.963679472856706","0.997115264000269","-0.000150428136852954","0.00778878849136435","-0.0154161730631271","0.0151153167894212"
"original_glcm_Id","0.939441830826316","0.874814881935482","0.971217259716446","0.998050971167394","-0.0021813784143041","0.020627038452439","-0.0426096308888074","0.0382468740601992"
"original_glcm_Idn","0.9500682941794","0.895326411312923","0.976535853529344","0.999881728280895","-0.000451149805976821","0.00957928791708054","-0.0192262091209944","0.0183239095090407"
"original_glcm_InverseVariance","0.924228065511923","0.845676953456465","0.963585168478921","0.993517634353112","-0.00500107155497168","0.0214220858954127","-0.046987588383704","0.0369854452737607"
"original_glcm_MaximumProbability","0.864650808510994","0.737733742714015","0.9325341049176","0.987804766682175","-0.000274292452770215","0.00498496836625468","-0.0100446509147009","0.00949606600916042"
"original_glcm_SumEntropy","0.939303438000646","0.877601204756992","0.970391568430365","0.993831331517766","0.0244575682549731","0.191800536125022","-0.351464574765544","0.40037971127549"
"original_glcm_SumSquares","0.893856230387525","0.791317122365673","0.947488365973421","0.987433664267244","4.12096758188923","22.2400112030314","-39.4686533918197","47.7105885555982"
"original_glrlm_GrayLevelNonUniformity","0.98681510370906","0.97238180286088","0.993729525115222","0.99912948821952","-4.3265616602447","43.7740715296444","-90.1221653150279","81.4690419945385"
